year	number of earthquakes in magnitude range	estimated deaths
1970	0	20	110	1,195	1,325	68,202
1971	1	19	112	1,331	1,463	1,279
1972	0	15	110	1,316	1,441	11,179
1973	0	13	95	1,331	1,439	659
1974	0	14	99	1,312	1,425	5,440
1975	1	14	107	1,447	1,569	12,372
1976	2	15	114	1,649	1,780	697,309
1977	2	11	89	1,686	1,788	2,849
1978	0	16	93	1,526	1,635	15,192
1979	0	13	100	1,366	1,479	1,475
1980	1	13	105	1,299	1,418	8,620
1981	0	13	90	1,168	1,271	5,223
1982	0	10	85	1,425	1,520	3,328
1983	0	14	126	1,673	1,813	2,372
1984	0	8	91	1,579	1,678	174
1985	1	13	110	1,674	1,798	9,846
1986	1	5	89	1,665	1,760	1,068
1987	0	11	112	1,437	1,560	1,080
1988	0	8	93	1,485	1,586	26,552
1989	1	6	79	1,444	1,530	617
1990	0	18	109	1,617	1,744	52,056
1991	0	16	96	1,457	1,569	3,210
1992	0	13	166	1,498	1,677	3,920
1993	0	12	137	1,426	1,575	10,096
1994	2	11	146	1,542	1,701	1,634
1995	2	18	183	1,318	1,521	7,980
1996	1	14	149	1,222	1,386	589
1997	0	16	120	1,113	1,249	3,069
1998	1	11	117	979	1,108	9,430
1999	0	18	116	1,104	1,238	22,662
2000	1	14	146	1,344	1,505	231
2001	1	15	121	1,224	1,361	21,357
2002	0	13	127	1,201	1,341	1,685
2003	1	14	140	1,203	1,358	33,819
2004	2	14	141	1,515	1,672	228,802
2005	1	10	140	1,693	1,844	88,003
2006	2	9	142	1,712	1,865	6,605
2007	4	14	178	2,074	2,270	712
2008	0	12	168	1,768	1,948	88,011
2009	1	16	144	1,896	2,057	1,790
2010	1	23	150	2,209	2,383	320,120
2011	1	19	185	2,276	2,481	21,953
2012	2	12	106	1,364	1,484	629
